Kinney  R,Albert  R
Tombor  B,Albert  R
Crucitti  P,Albert  R
Latora  V,Albert  R
Bianconi  G,Albert  R
Oltvai  Z,Albert  R
Jeong  H,Albert  R
Barabasi  A,Albert  R
Nakarado  G,Albert  R
Albert  I,Albert  R
Nakarado  G,Albert  I
Tu  Y,Barabasi  A
Yook  S,Barabasi  A
Wuchty  S,Barabasi  A
Schwartz  N,Barabasi  A
Mongru  D,Barabasi  A
Somera  A,Barabasi  A
Szathmary  E,Barabasi  A
Podani  J,Barabasi  A
Macdonald  P,Barabasi  A
Tombor  B,Barabasi  A
Mason  S,Barabasi  A
Derenyi  I,Barabasi  A
Farkas  I,Barabasi  A
Martinez  N,Barabasi  A
Williams  R,Barabasi  A
Dunne  J,Barabasi  A
Beg  Q,Barabasi  A
Dobrin  R,Barabasi  A
Dezso  Z,Barabasi  A
Demenezes  M,Barabasi  A
Havlin  S,Barabasi  A
Benavraham  D,Barabasi  A
Cohen  R,Barabasi  A
Berlow  E,Barabasi  A
Schubert  A,Barabasi  A
Neda  Z,Barabasi  A
Ravasz  E,Barabasi  A
Bianconi  G,Barabasi  A
Oltvai  Z,Barabasi  A
Vicsek  T,Barabasi  A
Kovacs  B,Barabasi  A
Almaas  E,Barabasi  A
Jeong  H,Barabasi  A
Tu  Y,Jeong  H
Yook  S,Jeong  H
Szathmary  E,Jeong  H
Podani  J,Jeong  H
Rho  K,Jeong  H
Park  Y,Jeong  H
Tombor  B,Jeong  H
Mason  S,Jeong  H
Han  S,Jeong  H
Yoon  C,Jeong  H
Kim  B,Jeong  H
Huss  M,Jeong  H
Holme  P,Jeong  H
Oh  E,Jeong  H
Kim  D,Jeong  H
Kahng  B,Jeong  H
Goh  K,Jeong  H
Derenyi  I,Jeong  H
Farkas  I,Jeong  H
Schubert  A,Jeong  H
Neda  Z,Jeong  H
Ravasz  E,Jeong  H
Bianconi  G,Jeong  H
Oltvai  Z,Jeong  H
Vicsek  T,Jeong  H
Stauffer  D,Aleksiejuk  A
Holyst  J,Aleksiejuk  A
Sienkiewicz  J,Holyst  J
Jedynak  M,Holyst  J
Fronczak  P,Holyst  J
Fronczak  A,Holyst  J
Stauffer  D,Holyst  J
Meyerortmanns  H,Stauffer  D
Adler  J,Stauffer  D
Aharony  A,Stauffer  D
Fortunato  S,Stauffer  D
Dafontouracosta  L,Stauffer  D
Kertesz  J,Stauffer  D
Araujo  A,Stauffer  D
Costa  U,Stauffer  D
Bernardes  A,Stauffer  D
Newman  M,Stauffer  D
Meucci  R,Allaria  E
Digarbo  A,Allaria  E
Arecchi  F,Allaria  E
Mancini  H,Arecchi  F
Bragard  J,Arecchi  F
Boccaletti  S,Arecchi  F
Meucci  R,Arecchi  F
Digarbo  A,Arecchi  F
Meucci  R,Digarbo  A
Macdonald  P,Almaas  E
Stroud  D,Almaas  E
