Old Label;New Label
27530;401
1132731;2510
1124837;2296
1107041;2017
1131348;2467
1105011;1964
140005;1048
1131270;2455
33904;487
248425;1287
45061;575
1113995;2135
42221;562
65650;710
143476;1059
671269;1780
108963;924
137380;1039
592996;1606
189708;1169
31105;461
6941;156
51834;629
1120138;2242
44017;569
37483;517
1110628;2085
33301;480
626531;1663
212930;1225
78508;789
416455;1461
33907;488
649730;1760
1104946;1962
1129368;2388
1135955;2555
1112075;2103
568045;1552
25805;388
1132285;2498
1117786;2200
346243;1401
1106671;2009
1118286;2210
608292;1653
1136393;2560
20924;348
100935;889
70444;745
1127657;2331
126867;985
321004;1383
58540;667
289088;1347
6767;140
1115959;2170
578365;1580
117315;953
12198;226
12337;234
1109199;2059
77515;785
28640;441
1118017;2204
107252;920
1114388;2147
310742;1376
46468;586
70442;744
48555;603
57922;660
96335;874
593559;1623
131042;1004
1105428;1974
1121659;2271
562940;1545
28412;429
8865;186
1106287;1996
1135082;2540
1131301;2459
70970;747
57119;657
110162;929
93273;849
42156;559
25181;381
1137140;2571
1111265;2094
78552;792
1102751;1924
1131149;2435
1153877;2670
579008;1589
252725;1295
49720;610
1109830;2066
1103016;1929
148341;1074
28504;438
390896;1439
1130927;2429
1136814;2570
198866;1201
1116842;2186
696345;1815
205192;1209
348305;1403
4878;92
1125402;2303
1116835;2184
47682;596
1110024;2071
621555;1661
1131163;2437
20526;334
6925;153
137790;1040
751408;1843
20601;340
259702;1305
395547;1443
1117618;2197
299195;1361
145134;1067
594119;1633
1110998;2089
6385;136
644334;1721
171225;1128
144679;1065
613409;1657
1103499;1936
3233;74
1153945;2682
578845;1587
5075;99
779960;1858
12359;237
395540;1442
7537;169
58453;665
466170;1493
1107861;2039
1154103;2690
1119078;2221
66564;714
1153101;2642
1131334;2464
1134865;2539
72101;752
573978;1557
66805;720
91581;843
645452;1735
15984;284
136768;1036
126868;986
13269;253
20584;337
1130847;2426
137956;1044
292277;1353
1136110;2557
582139;1591
1108329;2047
148399;1075
1117249;2193
583318;1595
86359;827
782486;1859
350362;1406
103430;904
132821;1011
51180;627
1107572;2035
103531;909
1108050;2040
940;17
9513;191
111866;934
77108;782
5462;104
739280;1839
217115;1232
1119471;2228
1129106;2383
1102625;1922
1112369;2108
1131267;2454
133566;1015
1102550;1920
50381;620
1997;44
1152944;2628
1130657;2420
1022969;1907
1131360;2469
379288;1428
1105574;1980
116552;950
643734;1717
1116146;2172
459206;1488
120013;970
1118764;2217
28487;435
83847;815
1153264;2653
13885;260
1126315;2321
174425;1133
1107355;2028
594039;1631
22564;356
212097;1222
1120197;2245
82666;808
1154276;2701
330148;1389
124296;979
1113614;2127
219218;1239
1114512;2151
263498;1317
763009;1854
141596;1055
170798;1127
3218;67
19621;328
423816;1467
593240;1617
1102548;1919
28385;426
990075;1905
159897;1106
200630;1204
13686;258
1152761;2620
1134031;2533
228992;1249
242637;1278
239800;1271
284414;1338
12194;223
1106103;1992
55968;650
1112319;2107
66990;724
3101;61
16476;293
75691;775
28389;428
191222;1177
6216;124
1152143;2591
576795;1571
1152917;2627
1119742;2234
33325;482
756061;1852
644448;1726
25702;384
948846;1890
14428;269
1128856;2360
345340;1400
29708;449
84021;817
1112417;2109
1114192;2140
34961;496
131318;1009
50336;617
206371;1212
133628;1018
919885;1885
10531;205
643239;1713
1117348;2194
1120211;2246
5064;97
1131728;2487
10174;199
215912;1229
31353;464
51052;626
562123;1544
12210;228
1118092;2206
444240;1480
83449;810
41417;555
627024;1666
949217;1891
273152;1329
40605;551
1120170;2244
684972;1797
643221;1712
1110563;2083
644093;1720
1115701;2167
208345;1215
341188;1398
523394;1521
1108834;2055
134219;1022
12350;236
594649;1638
1125953;2312
4584;87
27632;410
189577;1165
976284;1900
950305;1895
646900;1749
1107140;2022
1130934;2432
735311;1836
594511;1636
20972;350
395553;1444
82098;806
218410;1236
1153183;2649
814836;1863
12638;242
1132706;2509
235683;1263
943;19
38771;528
561674;1540
1133930;2531
1152290;2600
646289;1741
120817;973
1153091;2640
27174;390
1109957;2069
899085;1880
458439;1487
1114336;2144
1129518;2393
16470;290
74975;771
645088;1734
260979;1308
6917;151
1120019;2237
949318;1892
6539;137
1114838;2157
6346;134
645046;1732
1131180;2442
173863;1130
213246;1226
193742;1185
25772;385
13960;262
237489;1267
1131828;2494
232606;1257
1132948;2517
195150;1193
1153816;2665
124952;982
943087;1887
594543;1637
13024;245
36140;511
218666;1237
1152569;2612
561610;1537
56709;656
35490;502
1128868;2361
263486;1316
390922;1440
1104999;1963
85449;823
54129;642
211432;1219
63931;702
47683;597
427606;1469
232860;1258
197452;1197
264347;1319
11337;215
521251;1515
11093;210
1118120;2207
523010;1520
54550;645
139865;1047
128383;996
1130653;2419
1152740;2619
159084;1104
249421;1290
1119295;2227
280876;1334
1117089;2190
1119140;2222
126793;984
513189;1509
1237;25
249858;1291
577331;1575
1153736;2661
55403;647
632935;1683
358887;1412
576725;1570
1105764;1986
189774;1171
1139009;2580
643597;1715
270456;1325
1121313;2265
116512;947
1108570;2051
116790;952
3192;65
16471;291
134307;1023
644470;1727
205196;1210
1130069;2407
233106;1259
1120777;2255
28387;427
763010;1855
126909;987
18774;316
9559;193
1152075;2590
648232;1758
340299;1397
68463;733
593921;1627
315266;1379
1114664;2155
1110438;2077
12631;241
289945;1352
1131266;2453
656231;1774
238401;1270
1107728;2037
218682;1238
25413;383
6814;146
1128990;2375
642681;1702
1123068;2281
56167;654
1131565;2480
27510;399
1131466;2475
66982;722
578898;1588
8703;182
14062;266
169280;1125
95225;863
645897;1738
133553;1013
408885;1455
1114331;2143
1136631;2567
1121603;2270
20942;349
1114526;2152
118436;961
561593;1535
1129629;2400
594900;1639
1153860;2667
1153922;2678
1154042;2685
447224;1484
307015;1366
1131165;2439
1131195;2446
85299;820
179180;1145
1133008;2520
314459;1378
64484;705
1129573;2396
385067;1431
95188;861
38480;525
69392;739
634902;1689
134315;1025
1134022;2532
801170;1862
6130;110
1120059;2240
73146;757
1114352;2145
395075;1441
31927;470
1107385;2030
8591;175
73712;761
1107312;2025
124828;981
307656;1368
1129994;2406
116553;951
1115677;2166
110164;931
310530;1374
286500;1341
1131223;2448
18251;307
1123991;2295
815096;1865
8213;172
644494;1728
376704;1426
1120650;2252
1126050;2320
16008;286
646809;1746
27230;393
594387;1634
1152958;2629
28489;436
52515;637
1140231;2585
1128430;2351
1120858;2257
1107067;2019
1117760;2199
90470;839
308529;1371
1153280;2655
1131414;2471
28359;425
135130;1028
12165;220
7432;167
1107567;2034
300071;1363
75674;774
7532;168
23546;373
79809;796
1213;24
167670;1120
590022;1597
17208;298
189721;1170
815073;1864
1129443;2391
59244;671
20178;330
10981;209
1119671;2232
137849;1041
636500;1694
1107808;2038
733167;1831
686015;1799
687401;1804
1113541;2125
58758;669
294126;1358
1120084;2241
105865;915
67584;729
272345;1327
335733;1393
362926;1416
1108209;2044
1131741;2489
950052;1894
1154232;2698
6343;132
262121;1311
853150;1875
48766;605
1128437;2352
592975;1603
23258;368
1129369;2389
20179;331
593260;1619
429781;1471
1128204;2340
286562;1343
1129027;2380
299197;1362
1128227;2342
210309;1216
1153024;2635
28964;447
33412;483
155738;1094
300806;1364
22566;357
430711;1475
16451;288
194645;1192
1132809;2511
45603;581
948299;1889
559804;1528
987188;1902
73327;760
258259;1302
647447;1754
72406;753
1120643;2251
1112026;2101
714879;1829
486840;1498
1116839;2185
593942;1628
1107010;2016
239829;1273
1034;22
5959;107
1103038;1931
211906;1221
75983;781
1114864;2158
1132864;2514
436796;1477
127033;992
48781;607
562067;1543
463;10
711994;1823
60170;678
302545;1365
192734;1179
27531;402
1130856;2427
633721;1688
648106;1755
1104055;1946
46491;589
1116530;2180
129045;999
232605;1256
1132459;2505
32698;476
3236;76
854434;1877
594483;1635
28249;416
101660;895
628764;1673
203646;1208
1115375;2162
610529;1655
1129570;2394
1105344;1971
578649;1583
1131421;2473
94639;857
19697;329
6939;155
6217;125
156977;1096
1102794;1926
578306;1576
28649;443
1130539;2412
6782;143
1120731;2254
1111788;2098
1131639;2484
13717;259
23070;366
1125895;2308
1121867;2273
887;13
24530;378
7297;164
116084;945
1136040;2556
95579;865
1106966;2015
628500;1669
1127913;2336
399339;1450
102879;900
1113551;2126
1130454;2411
118559;963
130;5
193932;1188
90888;841
74920;768
69418;741
9586;195
1152959;2630
78557;794
175291;1135
633585;1687
593813;1625
6786;145
1026;20
375825;1425
1112686;2114
16819;295
32083;472
578780;1586
1118546;2215
755217;1851
1131314;2462
270085;1324
31483;466
688849;1807
259126;1303
20593;339
1112665;2113
307336;1367
1132385;2499
1132922;2516
1106568;2007
1114629;2154
173884;1131
31043;457
27249;397
267824;1323
592826;1600
1246;26
390889;1437
315789;1380
12347;235
1116974;2188
190698;1174
24966;379
75972;780
16437;287
112813;938
645571;1736
15892;283
37879;519
1951;38
5038;94
41714;557
105899;916
348437;1404
1125386;2301
1107136;2021
593328;1620
714256;1825
35852;505
1118302;2211
987197;1903
44121;570
85352;822
3828;80
1140289;2586
95589;868
1105394;1973
591016;1598
5069;98
1110000;2070
612306;1656
672070;1783
6771;141
6125;109
576362;1568
141160;1050
75693;776
45599;580
1121254;2264
645084;1733
162075;1110
238099;1269
575402;1565
27514;400
328370;1388
593544;1622
35863;507
13213;252
1154169;2693
675649;1785
210871;1217
1153262;2652
575331;1564
643777;1719
36145;512
1121063;2262
78549;791
1136342;2559
27627;408
52847;640
377303;1427
617575;1660
1113182;2121
254923;1298
964248;1898
6818;147
39130;536
101261;893
60560;679
1123689;2291
84020;816
308232;1370
45605;582
19045;326
1110579;2084
1106112;1993
111770;933
1114502;2150
112787;937
561809;1542
1130080;2408
94416;856
62329;686
8696;180
289780;1349
81350;801
1152673;2615
1106854;2014
189623;1167
368657;1421
8594;176
1120252;2247
593155;1613
1129798;2403
1152307;2601
644361;1722
573535;1554
1111614;2096
444191;1479
892139;1879
1118388;2214
91853;845
709113;1819
66556;712
20923;347
72805;754
1118347;2213
1127619;2330
213279;1227
4637;88
187260;1157
1154076;2689
578650;1584
2663;51
6196;118
72908;755
1127541;2326
1131549;2477
400455;1453
853116;1873
1130931;2431
67633;730
762980;1853
37998;522
134320;1027
5600;105
22876;362
23069;365
662572;1778
446271;1482
5055;95
14807;277
1108728;2054
97377;878
1031453;1908
248431;1288
13136;246
36162;513
141868;1056
20920;346
608191;1652
28202;413
35905;508
1786;34
1127566;2329
28456;431
459213;1489
323128;1385
63915;701
133563;1014
604073;1648
330208;1390
1128935;2364
1153031;2636
1138619;2576
118558;962
434;9
459216;1491
642920;1707
162664;1112
522338;1519
1107215;2024
13193;247
87417;831
260121;1307
29492;448
1140543;2587
1152436;2607
217984;1235
116081;944
129042;998
278394;1332
1153786;2663
13917;261
259701;1304
753265;1848
1103985;1943
38846;532
907845;1882
521855;1518
162080;1111
688824;1806
684372;1795
595193;1643
738941;1838
1118658;2216
1106298;1997
911198;1883
77438;784
654177;1769
1153148;2644
14529;273
84695;819
470511;1496
1130567;2413
1126012;2316
141347;1054
367312;1418
37541;518
93923;854
1110947;2087
6210;120
69284;737
38839;530
28473;433
7296;163
1128453;2353
3217;66
78994;795
1125492;2306
126128;983
1133028;2522
1134056;2534
54131;643
10186;202
561581;1533
220420;1243
1110520;2080
119686;966
358884;1411
310653;1375
35070;499
53942;641
1116181;2173
628751;1672
1126037;2318
259772;1306
101143;891
1135358;2547
1116629;2183
32688;475
56112;651
1131305;2460
2354;46
230300;1251
1153003;2633
1130637;2418
182094;1154
1102442;1918
1105360;1972
1063773;1912
563613;1546
189571;1162
18815;322
567018;1551
1121398;2266
216877;1230
188318;1159
1140040;2583
1129621;2399
92065;847
1153577;2657
1130929;2430
68505;735
1120962;2260
198443;1199
66594;715
22563;355
189572;1163
1134348;2538
650814;1765
18781;318
177115;1139
35922;509
5869;106
1128256;2343
241133;1276
1112767;2116
87915;833
1129907;2405
318187;1382
1104379;1952
1107367;2029
2654;49
108983;926
168332;1121
99030;886
27199;391
100701;888
1111230;2092
1132416;2501
1135899;2554
1113438;2122
84459;818
51866;630
49895;616
1106401;2001
1138970;2579
1133010;2521
193347;1182
13656;256
1128881;2362
3220;68
431206;1476
397488;1447
86840;828
92589;848
573553;1555
589923;1596
38829;529
1132418;2502
66986;723
170338;1126
1105603;1981
1128369;2348
40;1
634938;1691
178209;1142
12275;232
576257;1567
1154071;2687
99023;884
1140548;2589
27241;394
20850;344
1103610;1937
1135894;2553
561364;1531
1129243;2386
114;2
824245;1869
66794;719
1111186;2091
57932;661
416867;1462
154023;1087
253762;1296
1152277;2599
1152162;2593
504;11
164;6
60682;680
628459;1668
1104258;1949
34355;494
1128407;2349
14090;268
8617;177
47684;598
654339;1771
647413;1753
1104435;1953
116528;948
1152564;2611
8687;179
194609;1190
1154520;2704
89416;837
18770;314
415693;1460
1959;43
1106764;2010
1128151;2337
1118245;2209
1152508;2610
521207;1514
79817;797
1152194;2595
1120444;2249
101662;896
11325;212
1109566;2064
133615;1017
28230;415
644577;1729
2698;55
358894;1413
592973;1602
65653;711
592830;1601
1153784;2662
1152421;2606
346292;1402
1104191;1948
1122574;2277
1153899;2676
8619;178
192870;1181
1117833;2201
595063;1641
1129778;2402
1105450;1976
189655;1168
81714;802
739707;1840
1154124;2692
1108167;2041
1133846;2530
1104031;1945
634975;1692
175256;1134
1108267;2046
579108;1590
255233;1299
28254;417
502574;1499
884094;1878
1116397;2178
22875;361
20833;343
1129608;2397
1110028;2072
1106330;1998
1152991;2632
1717;33
2658;50
683355;1792
110163;930
1120880;2259
13205;249
51909;632
1102873;1928
1111899;2099
46079;583
423463;1466
35343;501
1130676;2421
44514;573
4330;84
36167;514
1152714;2618
1127863;2335
126926;990
34257;490
753264;1847
28485;434
179702;1146
2653;48
141324;1052
18785;319
1119004;2220
1135115;2542
52784;638
1127810;2332
396412;1446
8224;173
59626;672
1123188;2284
10793;206
95718;872
375605;1424
628667;1670
30817;452
193354;1184
1114364;2146
582511;1594
342802;1399
66563;713
643199;1711
1132443;2504
1106546;2005
49660;609
12195;224
51045;624
240321;1274
147870;1072
216878;1231
1152904;2625
61073;682
66751;717
64319;704
1131748;2491
1059953;1910
1125944;2311
1131550;2478
1123493;2287
1956;42
178718;1143
1132505;2508
104840;912
148170;1073
18777;317
606479;1649
1132434;2503
12211;229
57764;658
270600;1326
1131189;2444
28336;423
20180;332
387795;1434
646913;1750
1131236;2450
230884;1253
189566;1161
1132073;2495
1125467;2304
1110390;2075
1154176;2695
12330;233
1128959;2368
14431;272
1131471;2476
80656;800
636511;1695
737204;1837
1128425;2350
1153891;2673
1131164;2438
608326;1654
20821;342
60159;676
116087;946
139738;1046
633030;1684
134199;1021
1128319;2347
35854;506
400356;1452
168958;1123
503893;1503
189620;1166
62607;691
263553;1318
561238;1530
154047;1088
62634;692
1114222;2141
13966;263
286513;1342
28265;418
424;8
73119;756
1110768;2086
40135;548
1136791;2569
1105887;1989
194617;1191
124064;977
1152633;2613
1128974;2369
59798;675
1115166;2160
1154251;2700
108974;925
25184;382
469504;1495
74427;763
229635;1250
219446;1241
626999;1665
293974;1356
1105718;1985
293271;1354
59772;674
1113035;2119
1121057;2261
60169;677
117328;955
157761;1098
734406;1834
481073;1497
31083;459
27243;395
696343;1814
646412;1744
12155;218
686061;1801
18773;315
1153861;2668
22431;354
1133338;2525
1112071;2102
1131734;2488
100961;890
112099;935
1128531;2354
13212;251
1128985;2374
648369;1759
1136634;2568
95719;873
7419;165
1110209;2073
1114125;2137
161221;1109
593209;1615
42209;561
31932;471
1103960;1940
3240;78
120084;972
144408;1064
1153728;2660
1118848;2219
3932;81
1139195;2581
682508;1788
360028;1415
1153897;2675
55770;648
1104749;1957
1117653;2198
1130780;2424
672071;1784
33013;478
13972;264
97645;880
6775;142
25791;386
123556;975
1125469;2305
1116268;2174
593091;1610
1135750;2552
2696;54
27246;396
16485;294
155158;1091
134128;1020
137130;1037
3191;64
575077;1562
1152910;2626
56708;655
647315;1751
15429;279
1119654;2231
385251;1432
941;18
3095;59
714260;1826
41216;554
12558;239
1108389;2049
31097;460
62333;687
89308;835
17488;303
1105116;1967
12182;222
1122642;2279
358866;1410
1133428;2528
1114992;2159
578669;1585
566664;1549
123825;976
39127;535
70281;742
219976;1242
1152975;2631
561582;1534
617378;1659
62347;688
46501;591
650834;1766
9581;194
1110494;2078
248119;1285
245288;1282
10430;203
206259;1211
212107;1223
5194;101
217139;1233
1152821;2621
62274;685
1123553;2289
39474;542
354004;1409
3187;63
739816;1841
31336;462
1136447;2565
424540;1468
1112099;2104
3112;62
62417;690
289085;1346
102406;899
447250;1485
1126350;2322
265203;1321
1035;23
1105932;1990
1114153;2138
74821;767
1154233;2699
118873;965
703953;1817
1109439;2062
575795;1566
380341;1429
45052;574
10796;207
1132968;2518
906;14
83746;813
693143;1810
6213;121
128202;994
6639;138
662416;1777
1119751;2235
127940;993
1117942;2203
368431;1419
1919;36
1120020;2238
1154524;2705
6898;148
628668;1671
193931;1187
601561;1646
1111304;2095
3243;79
12238;230
1128978;2372
1152379;2604
529165;1523
1153853;2666
1153933;2679
1817;35
28026;412
82664;807
9716;197
248823;1289
1131557;2479
78511;790
134316;1026
66782;718
1152308;2602
197783;1198
1108258;2045
94713;859
65074;708
1033;21
1103737;1939
1107062;2018
1130680;2423
1119178;2223
628815;1675
917493;1884
136767;1035
128;4
746058;1842
58552;668
592993;1605
175909;1138
1103162;1932
683404;1794
193918;1186
1095507;1914
8961;190
118682;964
626574;1664
1106771;2011
1128977;2371
43186;566
227286;1247
28674;444
1136446;2564
390894;1438
95642;871
22241;352
709518;1820
166989;1117
11339;216
261040;1309
642894;1706
409725;1457
2665;52
8872;187
1117476;2195
1119708;2233
1112426;2110
242663;1279
6163;114
18832;323
166825;1116
13652;254
1125597;2307
6214;122
15076;278
467383;1494
195792;1195
628458;1667
1103315;1933
117;3
23502;370
1123756;2292
131122;1006
39904;544
1120866;2258
1115291;2161
190697;1173
1113852;2132
1110515;2079
23774;375
59045;670
86923;829
754594;1849
1106172;1994
51831;628
294239;1360
1481;30
644427;1724
118259;957
27623;407
711527;1821
1136422;2562
1115456;2163
1135455;2549
2695;53
1117219;2192
578309;1577
1130586;2415
11342;217
22869;359
1124844;2297
1122304;2274
696342;1813
325314;1386
289779;1348
28447;430
1113831;2131
1949;37
58436;664
48768;606
385572;1433
19231;327
157805;1099
73972;762
1102761;1925
1126011;2315
975567;1899
1104851;1961
3085;58
646836;1747
20528;335
263482;1315
200480;1203
289781;1350
1113534;2124
50807;621
49844;614
1129208;2385
57948;662
74700;765
83725;812
1126029;2317
817774;1866
4649;89
1139928;2582
182093;1153
644441;1725
15987;285
1130808;2425
510718;1508
82920;809
98693;882
1103383;1934
1131167;2440
1125906;2309
22883;363
631052;1680
1116347;2177
49811;612
4660;90
235776;1264
83461;811
1999;45
1111978;2100
646195;1739
1131150;2436
166420;1115
1135122;2543
1153287;2656
390693;1436
1153106;2643
949511;1893
289885;1351
755082;1850
1129096;2382
74698;764
93318;850
1152272;2598
593329;1621
1129572;2395
20857;345
428610;1470
646440;1745
3235;75
89547;838
7867;170
45188;576
1104495;1955
39126;534
1113739;2128
8766;183
80515;799
32872;477
1106849;2013
33231;479
446610;1483
1131277;2457
195361;1194
577086;1573
566653;1548
1104007;1944
1105672;1983
1116569;2181
135766;1031
40124;545
1132887;2515
131315;1007
293285;1355
58268;663
277263;1331
142268;1057
1132815;2512
17811;305
129897;1003
114189;939
144212;1062
1153866;2669
644363;1723
1152150;2592
4335;85
521269;1517
175576;1137
675756;1786
506;12
636098;1693
50354;619
42847;563
853115;1872
1107558;2033
49847;615
211875;1220
12960;244
187354;1158
1952;39
1153065;2639
445938;1481
1153166;2647
33823;485
45533;579
16461;289
35778;503
1129367;2387
399173;1449
18615;312
95586;866
102061;898
1106388;2000
1123867;2293
100197;887
714748;1828
1109891;2068
129896;1002
1125992;2313
1121459;2267
30895;453
28471;432
175548;1136
1105531;1979
18811;320
1130243;2409
1107319;2026
1107171;2023
3229;71
1385;29
1132406;2500
1109542;2063
1102850;1927
114308;940
45212;578
103529;908
12199;227
820661;1867
68495;734
30901;454
15670;281
1138027;2573
1117501;2196
1106630;2008
1134197;2535
18536;310
